r,accuracy,target
"[2.060499906539917, 0.5016767382621765, 0.5]"
"[2.253225326538086, 0.5719769597053528, 0.5]"
"[2.0995724201202393, 0.5288714170455933, 0.5]"
"[1.701951265335083, 0.6445782780647278, 0.5]"
"[1.6396467685699463, 0.8407517075538635, 0.5]"
"[1.7466585636138916, 0.540229856967926, 0.5]"
"[2.030837059020996, 0.5069560408592224, 0.5]"
"[1.839848518371582, 0.8061366677284241, 0.5]"
"[2.1618475914001465, 0.5003422498703003, 0.5]"
"[1.6330366134643555, 0.8013165593147278, 0.5]"
"[1.1887054443359375, 0.9284496903419495, 0.5]"
"[2.134735345840454, 0.7081930637359619, 0.5]"
"[1.999649167060852, 0.5641025900840759, 0.5]"
"[2.608607769012451, 0.5046677589416504, 0.5]"
"[2.130131483078003, 0.5007002949714661, 0.5]"
"[2.2510313987731934, 0.5011441707611084, 0.5]"
"[1.958655595779419, 0.6480099558830261, 0.5]"
"[1.8770852088928223, 0.5031446814537048, 0.5]"
"[1.8623757362365723, 0.5255848169326782, 0.5]"
"[2.0301809310913086, 0.5061911940574646, 0.5]"
"[2.0109100341796875, 0.514132559299469, 0.5]"
"[2.300747871398926, 0.5020360946655273, 0.5]"
"[1.8131494522094727, 0.6553288102149963, 0.5]"
"[1.9944658279418945, 0.5298125743865967, 0.5]"
"[1.9520443677902222, 0.6832253336906433, 0.5]"
"[2.0725905895233154, 0.555345892906189, 0.5]"
"[2.1042981147766113, 0.5328407287597656, 0.5]"
"[1.9873521327972412, 0.5491967797279358, 0.5]"
"[1.761653184890747, 0.5141414403915405, 0.5]"
"[2.2438018321990967, 0.5071068406105042, 0.5]"
"[2.166062116622925, 0.5316526889801025, 0.5]"
"[2.2680373191833496, 0.5054869651794434, 0.5]"
"[1.7126293182373047, 0.6771929860115051, 0.5]"
"[2.0965161323547363, 0.5006639957427979, 0.5]"
"[2.0241281986236572, 0.5149911642074585, 0.5]"
"[1.895674705505371, 0.6872180104255676, 0.5]"
"[2.6689157485961914, 0.5079086422920227, 0.5]"
"[1.8964877128601074, 0.6355140209197998, 0.5]"
"[1.980785608291626, 0.652910053730011, 0.5]"
"[2.136674642562866, 0.508411169052124, 0.5]"
"[1.9790328741073608, 0.6312684416770935, 0.5]"
