r,accuracy,target
"[1.9748773574829102, 0.5001603364944458, 0.5]"
"[1.4836831092834473, 0.995353639125824, 0.5]"
"[2.080526828765869, 0.5001965761184692, 0.5]"
"[1.7501479387283325, 0.5006511211395264, 0.5]"
"[2.0225467681884766, 0.5001505613327026, 0.5]"
"[1.9556819200515747, 0.5007069110870361, 0.5]"
"[1.6158643960952759, 0.6697840690612793, 0.5]"
"[2.008877992630005, 0.6606724262237549, 0.5]"
"[1.9586997032165527, 0.6564525365829468, 0.5]"
"[1.5852915048599243, 0.6678187847137451, 0.5]"
"[1.8868963718414307, 0.5001872181892395, 0.5]"
"[2.138371229171753, 0.5001729130744934, 0.5]"
"[2.268174409866333, 0.5014997124671936, 0.5]"
"[2.160233736038208, 0.5010778903961182, 0.5]"
"[2.1080751419067383, 0.6718562841415405, 0.5]"
"[2.052415132522583, 0.500167191028595, 0.5]"
"[2.097801923751831, 0.5001567602157593, 0.5]"
"[2.1569254398345947, 0.506050705909729, 0.5]"
"[2.113297939300537, 0.500182569026947, 0.5]"
"[1.7505055665969849, 0.5001728534698486, 0.5]"
"[2.3488850593566895, 0.6631631851196289, 0.5]"
"[1.836033821105957, 0.500965416431427, 0.5]"
"[2.5197439193725586, 0.5032874345779419, 0.5]"
"[1.0117114782333374, 0.8317853212356567, 0.5]"
"[1.4264097213745117, 0.9957603812217712, 0.5]"
"[1.9062750339508057, 0.5001935958862305, 0.5]"
"[2.337005376815796, 0.5005171298980713, 0.5]"
"[1.7949905395507812, 0.6623105406761169, 0.5]"
"[1.473794937133789, 0.6649243831634521, 0.5]"
"[3.224261522293091, 0.665603518486023, 0.5]"
"[2.4732232093811035, 0.6645660400390625, 0.5]"
"[2.0998711585998535, 0.5010678768157959, 0.5]"
"[1.3466095924377441, 0.8321364521980286, 0.5]"
"[2.100001096725464, 0.500663161277771, 0.5]"
"[1.7476117610931396, 0.8318167924880981, 0.5]"
"[1.9686241149902344, 0.503070056438446, 0.5]"
"[1.8750596046447754, 0.500228762626648, 0.5]"
"[2.013657808303833, 0.5001872777938843, 0.5]"
"[2.391411542892456, 0.5319664478302002, 0.5]"
"[1.8171812295913696, 0.5066768527030945, 0.5]"
"[1.2357248067855835, 0.8318083882331848, 0.5]"
"[2.186903476715088, 0.6611744165420532, 0.5]"
"[1.9933453798294067, 0.5001991987228394, 0.5]"
"[2.111036777496338, 0.8309069275856018, 0.5]"
"[1.597022294998169, 0.8317491412162781, 0.5]"
"[2.243072509765625, 0.5001896023750305, 0.5]"
"[1.8937640190124512, 0.6666666865348816, 0.5]"
"[2.1068923473358154, 0.5001506209373474, 0.5]"
"[2.1217660903930664, 0.500976026058197, 0.5]"
"[1.7922487258911133, 0.8326801061630249, 0.5]"
"[2.0172250270843506, 0.6600008606910706, 0.5]"
"[2.1239564418792725, 0.6448944807052612, 0.5]"
"[1.751977562904358, 0.6666666865348816, 0.5]"
"[1.6360512971878052, 0.6630686521530151, 0.5]"
"[1.7092409133911133, 0.6485047936439514, 0.5]"
"[1.8033061027526855, 0.6633854508399963, 0.5]"
"[1.236708641052246, 0.9976053237915039, 0.5]"
"[1.8311628103256226, 0.8316947221755981, 0.5]"
"[1.9803099632263184, 0.6609277725219727, 0.5]"
"[1.6859254837036133, 0.6650172472000122, 0.5]"
"[2.7402095794677734, 0.6573432683944702, 0.5]"
"[2.600438356399536, 0.5069435834884644, 0.5]"
"[1.4534510374069214, 0.8317475318908691, 0.5]"
"[1.8082187175750732, 0.6616671681404114, 0.5]"
"[2.3287651538848877, 0.5002259016036987, 0.5]"
"[1.9306011199951172, 0.500163733959198, 0.5]"
"[1.6933391094207764, 0.8324928283691406, 0.5]"
"[2.071249485015869, 0.6537242531776428, 0.5]"
"[2.843949794769287, 0.5001755952835083, 0.5]"
"[2.599745273590088, 0.5001969337463379, 0.5]"
"[2.2018723487854004, 0.33386826515197754, 0.5]"
"[2.2708394527435303, 0.6658700108528137, 0.5]"
"[1.3081045150756836, 0.8323577642440796, 0.5]"
"[1.9889400005340576, 0.6620317101478577, 0.5]"
"[2.5070364475250244, 0.6625586748123169, 0.5]"
"[2.0357284545898438, 0.5001875758171082, 0.5]"
"[1.6785768270492554, 0.5020256042480469, 0.5]"
"[1.845670223236084, 0.6874141693115234, 0.5]"
"[2.5721700191497803, 0.6600500345230103, 0.5]"
"[2.028055191040039, 0.6648666858673096, 0.5]"
"[1.8254793882369995, 0.6666666865348816, 0.5]"
"[1.7386069297790527, 0.6352336406707764, 0.5]"
"[2.1952571868896484, 0.6733043193817139, 0.5]"
"[1.3757469654083252, 0.8312123417854309, 0.5]"
"[2.1651692390441895, 0.6471841931343079, 0.5]"
"[1.7183012962341309, 0.8327582478523254, 0.5]"
"[2.721310615539551, 0.6672267317771912, 0.5]"
"[2.2321650981903076, 0.5005724430084229, 0.5]"
"[3.0366721153259277, 0.5001815557479858, 0.5]"
"[2.3278470039367676, 0.5001436471939087, 0.5]"
"[1.8443689346313477, 0.6646249890327454, 0.5]"
"[2.422638177871704, 0.5005104541778564, 0.5]"
"[1.6046321392059326, 0.8313735127449036, 0.5]"
"[1.7208600044250488, 0.5042104125022888, 0.5]"
"[1.6777976751327515, 0.6600691080093384, 0.5]"
"[0.9321886897087097, 0.9954838752746582, 0.5]"
"[1.9867541790008545, 0.6666832566261292, 0.5]"
"[2.043029546737671, 0.6653922200202942, 0.5]"
"[2.101644515991211, 0.6670584082603455, 0.5]"
"[2.0442304611206055, 0.5001620054244995, 0.5]"
"[1.7711635828018188, 0.6421566009521484, 0.5]"
"[2.5630908012390137, 0.5026667714118958, 0.5]"
"[2.126559257507324, 0.5020641088485718, 0.5]"
"[2.9063634872436523, 0.5003412365913391, 0.5]"
"[1.6726324558258057, 0.6666666865348816, 0.5]"
"[2.8353683948516846, 0.6639122366905212, 0.5]"
"[2.0609993934631348, 0.500196099281311, 0.5]"
"[1.8997976779937744, 0.6629621386528015, 0.5]"
"[1.7094943523406982, 0.6666666865348816, 0.5]"
"[1.9991834163665771, 0.6653798818588257, 0.5]"
"[1.8739964962005615, 0.5053173303604126, 0.5]"
"[1.9860800504684448, 0.6635566353797913, 0.5]"
"[2.06058931350708, 0.5014593601226807, 0.5]"
"[2.641970634460449, 0.5001698732376099, 0.5]"
"[2.9919185638427734, 0.5001596212387085, 0.5]"
"[1.9670988321304321, 0.513015627861023, 0.5]"
"[2.2100062370300293, 0.5002039670944214, 0.5]"
"[1.399341106414795, 0.8325040936470032, 0.5]"
"[2.000084638595581, 0.5001903772354126, 0.5]"
"[2.42429256439209, 0.5001680254936218, 0.5]"
"[2.0972001552581787, 0.5036253929138184, 0.5]"
"[1.8556404113769531, 0.500186026096344, 0.5]"
"[1.1703824996948242, 0.837593674659729, 0.5]"
"[1.8832716941833496, 0.6666666865348816, 0.5]"
"[1.7160625457763672, 0.5001562237739563, 0.5]"
"[2.1197397708892822, 0.6658003330230713, 0.5]"
"[1.627494215965271, 0.6666666865348816, 0.5]"
"[1.9324872493743896, 0.8188303112983704, 0.5]"
"[2.2926993370056152, 0.6622137427330017, 0.5]"
"[2.090794563293457, 0.5001794099807739, 0.5]"
"[1.7342934608459473, 0.8322678208351135, 0.5]"
"[1.961026668548584, 0.6628115773200989, 0.5]"
"[1.6853740215301514, 0.5001975893974304, 0.5]"
"[1.6776885986328125, 0.8305214047431946, 0.5]"
"[2.4468414783477783, 0.5001502633094788, 0.5]"
"[1.9762353897094727, 0.5203146934509277, 0.5]"
"[2.114513874053955, 0.503681480884552, 0.5]"
"[1.5598387718200684, 0.8324047327041626, 0.5]"
"[2.0605454444885254, 0.6656959056854248, 0.5]"
"[2.4705989360809326, 0.6617808938026428, 0.5]"
"[2.723417282104492, 0.5001843571662903, 0.5]"
"[1.9121737480163574, 0.6670487523078918, 0.5]"
"[1.6598248481750488, 0.6591852903366089, 0.5]"
"[2.104200839996338, 0.6587377786636353, 0.5]"
"[2.257298469543457, 0.6592719554901123, 0.5]"
"[2.228642463684082, 0.5002743005752563, 0.5]"
"[2.17673921585083, 0.5002003908157349, 0.5]"
"[1.5922081470489502, 0.5001477003097534, 0.5]"
"[2.093682050704956, 0.5001962780952454, 0.5]"
"[2.5243403911590576, 0.5020055174827576, 0.5]"
"[1.867300033569336, 0.5012776255607605, 0.5]"
"[2.050804615020752, 0.6568770408630371, 0.5]"
"[1.4972448348999023, 0.664774477481842, 0.5]"
"[2.1461126804351807, 0.5001968741416931, 0.5]"
"[1.8177721500396729, 0.6666666865348816, 0.5]"
"[2.0472216606140137, 0.5004934668540955, 0.5]"
"[1.8288018703460693, 0.5001557469367981, 0.5]"
"[2.2666234970092773, 0.5017426609992981, 0.5]"
"[2.0363919734954834, 0.6666666865348816, 0.5]"
"[3.551016330718994, 0.5009399652481079, 0.5]"
"[2.4821267127990723, 0.6654915809631348, 0.5]"
"[1.8686718940734863, 0.5001790523529053, 0.5]"
"[2.1522927284240723, 0.5005742311477661, 0.5]"
"[1.5224089622497559, 0.8318883180618286, 0.5]"
"[2.984973192214966, 0.5017473101615906, 0.5]"
