r,accuracy
"[0.823470950126648, 0.9591902494430542]"
"[0.6665538549423218, 0.9603126645088196]"
"[0.8168277740478516, 0.9613590836524963]"
"[0.5515385866165161, 0.9611219167709351]"
"[0.9014760851860046, 0.960231363773346]"
"[0.5309544801712036, 0.9620395302772522]"
"[0.6794033646583557, 0.9618715643882751]"
"[0.6820377111434937, 0.9625062346458435]"
"[0.5162796974182129, 0.9634857177734375]"
"[0.7014705538749695, 0.9612078070640564]"
"[0.6169812679290771, 0.959396481513977]"
"[0.6494488716125488, 0.9634940028190613]"
"[0.4170134365558624, 0.9653693437576294]"
"[0.8456801772117615, 0.9598173499107361]"
"[1.145752191543579, 0.9564412236213684]"
"[0.6353095769882202, 0.9632992744445801]"
"[0.5805577039718628, 0.9624398350715637]"
"[0.7192262411117554, 0.9563117623329163]"
"[0.5734313726425171, 0.96292644739151]"
"[0.5111345052719116, 0.9618640542030334]"
"[0.5471827387809753, 0.9594889283180237]"
"[0.5627855062484741, 0.9572096467018127]"
"[0.6541408896446228, 0.9636416435241699]"
"[0.5987392663955688, 0.9615762233734131]"
"[0.44721949100494385, 0.9645493030548096]"
"[0.7528657913208008, 0.9619836211204529]"
"[0.5182988047599792, 0.9634741544723511]"
"[0.5717491507530212, 0.960842490196228]"
"[0.7633988857269287, 0.9644402265548706]"
"[0.5990587472915649, 0.9614779949188232]"
"[0.5700271129608154, 0.9620223641395569]"
"[0.6416972875595093, 0.9602034091949463]"
"[0.43108001351356506, 0.9624911546707153]"
"[0.5055747032165527, 0.9602106809616089]"
"[0.4918268322944641, 0.96095210313797]"
"[0.5693989396095276, 0.9591962695121765]"
"[0.9595813751220703, 0.9629299640655518]"
"[0.6389186382293701, 0.9646542072296143]"
"[0.7949689626693726, 0.9647794961929321]"
"[0.5496335625648499, 0.963721752166748]"
"[0.9301403164863586, 0.9605064392089844]"
"[0.5366795659065247, 0.9604915976524353]"
"[0.5307332277297974, 0.9617297649383545]"
"[0.5192137956619263, 0.9615725874900818]"
"[0.6332855820655823, 0.9612936973571777]"
"[0.4427858293056488, 0.9613139629364014]"
"[0.584223210811615, 0.9632146954536438]"
"[0.6555814743041992, 0.9618321061134338]"
"[0.4848361611366272, 0.9626649618148804]"
"[0.8267581462860107, 0.9625303149223328]"
"[0.6099005937576294, 0.9619328379631042]"
"[0.8077096343040466, 0.9606369733810425]"
"[0.44753608107566833, 0.9615265727043152]"
"[0.6017565727233887, 0.9618918299674988]"
"[0.5996140241622925, 0.9607329368591309]"
"[0.7350529432296753, 0.9607786536216736]"
"[0.6377785801887512, 0.9613238573074341]"
"[0.48969757556915283, 0.9607783555984497]"
"[0.7607390880584717, 0.9599409699440002]"
"[0.5359709858894348, 0.9598637223243713]"
"[0.5082888603210449, 0.963161826133728]"
"[0.7139185667037964, 0.9635587930679321]"
"[0.5360215306282043, 0.9602547287940979]"
"[0.6000837087631226, 0.9581329822540283]"
"[0.5143985748291016, 0.9632657170295715]"
"[0.4553080201148987, 0.9623503088951111]"
"[0.5441415905952454, 0.9642964601516724]"
"[0.5529897809028625, 0.9630575776100159]"
"[0.5705021023750305, 0.9599131345748901]"
"[0.5776969194412231, 0.9611930847167969]"
"[0.5666621327400208, 0.963280439376831]"
"[0.5388280153274536, 0.9607319235801697]"
"[0.4548110365867615, 0.9610689282417297]"
"[0.5817756652832031, 0.9588003158569336]"
"[0.7008812427520752, 0.9645124077796936]"
"[0.6177902221679688, 0.9627520442008972]"
"[0.7167896628379822, 0.962913453578949]"
"[0.685015857219696, 0.9624799489974976]"
"[0.5842679738998413, 0.9618186950683594]"
"[0.6012841463088989, 0.9630692601203918]"
"[0.5266261696815491, 0.9595112204551697]"
"[0.519350528717041, 0.9623672366142273]"
"[0.531658947467804, 0.9619609117507935]"
"[0.531758189201355, 0.962046205997467]"
"[0.7314740419387817, 0.962191104888916]"
"[0.4332921802997589, 0.9617102742195129]"
"[0.6191378831863403, 0.9635623693466187]"
"[0.40048515796661377, 0.964121401309967]"
"[0.783819317817688, 0.963958203792572]"
"[0.7046263217926025, 0.9618281722068787]"
"[0.48940324783325195, 0.9608458280563354]"
"[0.6084001660346985, 0.9631063938140869]"
"[0.4856685996055603, 0.9601813554763794]"
"[0.5344300270080566, 0.9609879851341248]"
"[0.5814704895019531, 0.9608708024024963]"
"[0.4916747808456421, 0.9612231850624084]"
"[0.5342103838920593, 0.9631901979446411]"
"[0.7556477785110474, 0.9605878591537476]"
"[0.5931795835494995, 0.9623566269874573]"
"[0.6883123517036438, 0.9622732400894165]"
"[0.4711025655269623, 0.9618805646896362]"
"[0.5034630298614502, 0.9617663025856018]"
"[0.5994912981987, 0.9621235728263855]"
"[0.668053150177002, 0.9628540873527527]"
"[0.43877193331718445, 0.961719274520874]"
"[0.7912702560424805, 0.9601925015449524]"
"[0.4896846413612366, 0.9619856476783752]"
"[0.8373391032218933, 0.960401713848114]"
"[0.8194655776023865, 0.9606361985206604]"
"[1.103779673576355, 0.9635255336761475]"
"[0.7943355441093445, 0.9598786234855652]"
"[0.7677879333496094, 0.960773229598999]"
"[0.5538517236709595, 0.9615800976753235]"
"[0.616181492805481, 0.9649273753166199]"
"[0.7032352685928345, 0.9597980380058289]"
"[0.5853760242462158, 0.961589515209198]"
"[0.5417065024375916, 0.9625712633132935]"
"[0.5477300882339478, 0.9620324969291687]"
"[0.5102949738502502, 0.9625541567802429]"
"[0.6878691911697388, 0.9646292924880981]"
"[0.5713882446289062, 0.9640676975250244]"
"[0.9251956939697266, 0.9629167914390564]"
"[0.655718207359314, 0.965670645236969]"
"[0.7299920320510864, 0.9620587229728699]"
"[0.6762759685516357, 0.9613271951675415]"
"[0.5777406096458435, 0.9609248042106628]"
"[0.84333735704422, 0.9628838300704956]"
"[0.5292775630950928, 0.9601542353630066]"
"[0.6449590921401978, 0.9590602517127991]"
"[0.6041706800460815, 0.9622623324394226]"
"[0.7632589936256409, 0.9626369476318359]"
"[0.5432997941970825, 0.9604042768478394]"
"[0.5316342711448669, 0.9626086950302124]"
"[0.639469563961029, 0.9626426696777344]"
"[0.6077864766120911, 0.9602884650230408]"
"[0.6280968189239502, 0.9621764421463013]"
"[0.6527685523033142, 0.9608783721923828]"
"[0.5305065512657166, 0.961685836315155]"
"[0.4869955778121948, 0.9620117545127869]"
"[0.558982789516449, 0.9626880288124084]"
"[0.5874345302581787, 0.9606896042823792]"
"[0.4973509609699249, 0.961876392364502]"
"[0.45047304034233093, 0.9634661674499512]"
"[1.0259387493133545, 0.9606335759162903]"
"[0.6565864682197571, 0.9631763696670532]"
"[0.5154749751091003, 0.9611961245536804]"
"[0.44466567039489746, 0.9636269807815552]"
"[0.5821291208267212, 0.9645811319351196]"
"[0.6642037630081177, 0.962620735168457]"
"[0.6690055131912231, 0.9604066014289856]"
"[0.5194671154022217, 0.9606224298477173]"
"[0.5449342131614685, 0.9624646306037903]"
"[0.5989334583282471, 0.9631097316741943]"
"[0.6147608757019043, 0.9596813321113586]"
"[0.4503876566886902, 0.9642589688301086]"
"[0.577878475189209, 0.9613734483718872]"
"[0.7295196652412415, 0.9642018675804138]"
"[0.6214900612831116, 0.9604537487030029]"
"[0.7464842796325684, 0.9622860550880432]"
"[0.5025681853294373, 0.9619390964508057]"
"[0.5419020652770996, 0.9623911380767822]"
"[0.4718214273452759, 0.9620858430862427]"
"[0.9008151292800903, 0.9623385667800903]"
"[0.57770836353302, 0.959881603717804]"
"[0.6673580408096313, 0.9609455466270447]"
"[0.543336033821106, 0.9601613879203796]"
"[0.5313355922698975, 0.9592164158821106]"
"[0.6503825187683105, 0.9573918581008911]"
"[0.8226307034492493, 0.9625323414802551]"
"[0.8146836757659912, 0.963706374168396]"
"[0.8069983720779419, 0.9603909254074097]"
"[0.6238831877708435, 0.9635773301124573]"
"[0.5315614342689514, 0.9615463614463806]"
"[0.48049718141555786, 0.9627653360366821]"
"[0.5746994614601135, 0.9626650810241699]"
"[1.0995056629180908, 0.9641278982162476]"
"[0.6228160858154297, 0.9584950804710388]"
"[0.6435267329216003, 0.9592690467834473]"
"[0.5069065690040588, 0.9596523642539978]"
"[0.5309925675392151, 0.9611660242080688]"
"[0.4785512089729309, 0.9639245271682739]"
"[0.5540030002593994, 0.9619017243385315]"
"[0.7456357479095459, 0.9605721831321716]"
"[0.6057138442993164, 0.9619106650352478]"
"[0.5158801078796387, 0.9614370465278625]"
"[0.5507542490959167, 0.9608690738677979]"
"[0.6303626298904419, 0.9605455994606018]"
"[0.5565749406814575, 0.9633881449699402]"
"[0.706733226776123, 0.9626098871231079]"
"[0.60541832447052, 0.9596660733222961]"
"[0.6351746320724487, 0.9585914611816406]"
"[0.7031697034835815, 0.9609971642494202]"
"[0.5538989901542664, 0.9613316655158997]"
"[0.8864021301269531, 0.9594893455505371]"
"[0.6788285970687866, 0.9622519016265869]"
"[0.48588380217552185, 0.9599385261535645]"
"[0.6225230693817139, 0.9636806845664978]"
"[0.5021695494651794, 0.9624624848365784]"
"[0.8859528303146362, 0.9624985456466675]"
"[0.47046399116516113, 0.9613104462623596]"
"[0.8199458122253418, 0.9631168246269226]"
"[0.5772535800933838, 0.9570967555046082]"
"[0.5547719597816467, 0.964202880859375]"
"[0.6867897510528564, 0.9601069092750549]"
"[0.543117344379425, 0.9630498886108398]"
"[0.5107631087303162, 0.9613676071166992]"
"[0.4861142635345459, 0.9639236330986023]"
"[0.5781704783439636, 0.9606618881225586]"
"[0.7820174694061279, 0.9604700803756714]"
"[0.7398468255996704, 0.960983157157898]"
"[0.543841540813446, 0.9608787298202515]"
"[0.68222975730896, 0.9618114233016968]"
"[0.5251137018203735, 0.9610834121704102]"
"[0.6711281538009644, 0.961654782295227]"
"[0.6379428505897522, 0.962297260761261]"
"[0.6169312000274658, 0.9626523852348328]"
"[0.5403682589530945, 0.961475670337677]"
"[0.6593034267425537, 0.9604464769363403]"
"[0.5755870938301086, 0.9604218602180481]"
"[0.6586993932723999, 0.963748574256897]"
"[0.5818836688995361, 0.9611524343490601]"
"[0.7694843411445618, 0.9632020592689514]"
"[0.5041850209236145, 0.9617103934288025]"
"[0.7614313960075378, 0.9646298885345459]"
"[0.5526529550552368, 0.9623035788536072]"
"[0.5200045108795166, 0.9612507820129395]"
"[0.5491607189178467, 0.9620679020881653]"
"[0.591676652431488, 0.9618780612945557]"
"[0.7469280362129211, 0.9615174531936646]"
"[0.7161797285079956, 0.9625246524810791]"
"[0.7762963771820068, 0.9616140127182007]"
"[0.6408361792564392, 0.9614223837852478]"
"[0.6379238963127136, 0.9629951119422913]"
"[0.6862677931785583, 0.9617807865142822]"
"[0.6526384949684143, 0.9593164324760437]"
"[0.5991773009300232, 0.9605070352554321]"
"[0.50559401512146, 0.9628630876541138]"
"[0.49865293502807617, 0.9652358293533325]"
"[0.6129939556121826, 0.9628623127937317]"
"[0.5323579907417297, 0.9622998237609863]"
"[0.6920708417892456, 0.9588015079498291]"
"[0.6146121025085449, 0.9618757367134094]"
"[0.616500735282898, 0.9625445604324341]"
"[0.6290212273597717, 0.9607652425765991]"
"[0.6299285888671875, 0.9651252627372742]"
"[0.4529179036617279, 0.963362991809845]"
"[0.6232999563217163, 0.9606676697731018]"
"[0.5341190695762634, 0.9615538120269775]"
"[0.6290464997291565, 0.962636411190033]"
"[0.49280667304992676, 0.9602556228637695]"
"[0.7827938795089722, 0.9633193612098694]"
"[0.6692759394645691, 0.9639058709144592]"
"[0.5481452345848083, 0.9582814574241638]"
"[0.5476288795471191, 0.9626081585884094]"
"[0.5418160557746887, 0.9620863795280457]"
"[0.7337585091590881, 0.9611186981201172]"
"[0.7274881601333618, 0.9623062610626221]"
"[0.49908751249313354, 0.9601514339447021]"
"[0.5144035816192627, 0.9607967138290405]"
"[0.6125712394714355, 0.9596533179283142]"
"[0.5115329027175903, 0.9613621234893799]"
"[0.5217689871788025, 0.966269850730896]"
"[0.5275936126708984, 0.9612552523612976]"
"[0.5656102299690247, 0.9614987969398499]"
"[0.5096652507781982, 0.9635481238365173]"
"[0.6700040698051453, 0.9608685970306396]"
"[0.42807257175445557, 0.9616926908493042]"
"[0.42036786675453186, 0.9639366269111633]"
"[0.5358700752258301, 0.9603099822998047]"
"[0.6643209457397461, 0.9626902341842651]"
"[0.5568647980690002, 0.9627737998962402]"
"[0.4821101129055023, 0.9625819325447083]"
"[0.4926148056983948, 0.9636217355728149]"
"[0.6152142882347107, 0.9598598480224609]"
"[0.611774206161499, 0.960326611995697]"
"[0.6903367042541504, 0.9613879323005676]"
"[0.62848299741745, 0.961431622505188]"
"[0.5752397179603577, 0.9616113305091858]"
"[0.5415091514587402, 0.9630310535430908]"
"[0.6539487838745117, 0.9588477611541748]"
"[0.7938857078552246, 0.9616949558258057]"
"[0.6309841275215149, 0.9576681852340698]"
"[0.6274876594543457, 0.9612196087837219]"
"[0.6696640849113464, 0.9622373580932617]"
"[0.6433734893798828, 0.9589097499847412]"
"[0.7980144023895264, 0.9624959230422974]"
"[0.5700024962425232, 0.9646182060241699]"
"[0.4917744994163513, 0.9618364572525024]"
"[0.5304353833198547, 0.9651815891265869]"
"[0.6569180488586426, 0.964214026927948]"
"[0.6445493698120117, 0.9618448615074158]"
"[0.6829782724380493, 0.9631640315055847]"
"[0.7241840958595276, 0.9611563086509705]"
"[0.6888805031776428, 0.9607971906661987]"
"[0.6313316226005554, 0.9586238861083984]"
"[0.5924509763717651, 0.9625908732414246]"
"[0.4544917643070221, 0.961476743221283]"
"[0.5456430315971375, 0.9612621068954468]"
"[0.49496644735336304, 0.9610428810119629]"
"[0.5536105632781982, 0.9612550139427185]"
"[0.7796081304550171, 0.9604001045227051]"
"[0.6604004502296448, 0.9615881443023682]"
"[0.6643526554107666, 0.963752269744873]"
"[0.6560122966766357, 0.9614443182945251]"
"[0.7620761394500732, 0.9594476819038391]"
"[0.6473264694213867, 0.9591041803359985]"
"[0.5084023475646973, 0.9619361758232117]"
"[0.6075990200042725, 0.9611290693283081]"
"[0.4753045439720154, 0.9631479382514954]"
"[0.4447416663169861, 0.9628604054450989]"
"[0.4811837077140808, 0.9614275693893433]"
"[0.8746031522750854, 0.961793839931488]"
"[0.660481870174408, 0.9616644978523254]"
"[0.4893749952316284, 0.9611126780509949]"
"[0.7607080340385437, 0.9632657170295715]"
"[0.478127658367157, 0.9628730416297913]"
"[0.5129600167274475, 0.961351215839386]"
"[0.4886121153831482, 0.9586563110351562]"
"[0.5902101397514343, 0.9605693221092224]"
"[1.0012412071228027, 0.9623010158538818]"
"[0.6464525461196899, 0.9615126252174377]"
"[0.6479994058609009, 0.9581831097602844]"
"[0.8940929770469666, 0.9652472138404846]"
"[0.5488004088401794, 0.963384211063385]"
"[0.5400105714797974, 0.9636026620864868]"
"[0.7002148032188416, 0.959953248500824]"
"[0.6417246460914612, 0.9621667265892029]"
"[0.6817940473556519, 0.9589543342590332]"
"[0.5940479040145874, 0.9602808952331543]"
"[0.5910300612449646, 0.9617537260055542]"
"[0.6599386930465698, 0.9604707360267639]"
"[0.6518799662590027, 0.9631364941596985]"
"[0.6918887495994568, 0.9637420177459717]"
"[0.6191323399543762, 0.9607720971107483]"
"[0.7571017742156982, 0.961304783821106]"
"[0.4298751652240753, 0.9611056447029114]"
"[0.5661128759384155, 0.9613328576087952]"
"[0.5226566791534424, 0.9607781171798706]"
"[0.6321220993995667, 0.9617761373519897]"
"[0.8984328508377075, 0.9583467245101929]"
"[0.5790508985519409, 0.9636162519454956]"
"[0.5631603002548218, 0.9614889621734619]"
"[0.6772504448890686, 0.962138295173645]"
"[0.6199643611907959, 0.9622659683227539]"
"[0.526671826839447, 0.9610188603401184]"
"[0.7881008386611938, 0.963591992855072]"
"[0.6641111373901367, 0.963280975818634]"
"[0.5048269629478455, 0.9631436467170715]"
"[0.5882933735847473, 0.9605050683021545]"
"[0.5945116877555847, 0.959770143032074]"
"[0.7926238179206848, 0.962177038192749]"
"[0.5878666639328003, 0.9614837169647217]"
"[0.5247267484664917, 0.9600502848625183]"
"[0.6254438161849976, 0.9617881178855896]"
"[0.8546899557113647, 0.9626582264900208]"
"[0.5590976476669312, 0.9660849571228027]"
"[0.9078172445297241, 0.9635574221611023]"
"[0.6527791023254395, 0.9622693061828613]"
"[0.5517348051071167, 0.9601956009864807]"
"[0.5817684531211853, 0.9599741697311401]"
"[0.5953851342201233, 0.9615681171417236]"
"[0.4074348509311676, 0.9644758701324463]"
"[0.4819985330104828, 0.9650854468345642]"
"[0.4460033178329468, 0.9598522186279297]"
"[0.7284103631973267, 0.9621583819389343]"
"[0.809630274772644, 0.9620360136032104]"
"[0.5223421454429626, 0.9624869227409363]"
"[0.5061403512954712, 0.9591993689537048]"
"[0.7422434091567993, 0.9580052495002747]"
"[0.6846939921379089, 0.9649627208709717]"
"[0.6141284108161926, 0.9599811434745789]"
"[0.7301966547966003, 0.9595046639442444]"
"[0.7067108750343323, 0.9595260620117188]"
"[0.7576870918273926, 0.9618614315986633]"
"[0.45463046431541443, 0.962270200252533]"
"[0.537975013256073, 0.9613410234451294]"
"[0.7084028720855713, 0.9631635546684265]"
"[0.5773478150367737, 0.9601037502288818]"
"[0.6062767505645752, 0.9637080430984497]"
"[0.6980053186416626, 0.9604091048240662]"
"[0.6427866816520691, 0.9610617756843567]"
"[0.5424777269363403, 0.9628049731254578]"
"[0.5611339211463928, 0.9609729051589966]"
"[0.7652190923690796, 0.9610289931297302]"
"[0.8903559446334839, 0.9607037305831909]"
"[0.5230064988136292, 0.9620795249938965]"
"[0.5860889554023743, 0.9643396139144897]"
"[0.5048863887786865, 0.9602199196815491]"
"[0.5207798480987549, 0.9614565372467041]"
"[0.7724947929382324, 0.9634326100349426]"
"[0.6408783793449402, 0.9612935781478882]"
"[0.5388361811637878, 0.9604483842849731]"
"[0.618859589099884, 0.9601325392723083]"
"[0.4365444779396057, 0.9640202522277832]"
"[0.5829153060913086, 0.9614782333374023]"
"[0.6088033318519592, 0.963532567024231]"
"[0.5770995616912842, 0.9633204936981201]"
"[0.4957270622253418, 0.9608424305915833]"
"[0.4699237048625946, 0.9629387855529785]"
"[0.5402615070343018, 0.9603884220123291]"
"[0.522598922252655, 0.9598650932312012]"
"[0.5292996168136597, 0.9613606929779053]"
"[0.8946880102157593, 0.9625529050827026]"
"[0.5120165944099426, 0.9625781774520874]"
"[0.5428780317306519, 0.9628530144691467]"
"[0.5629081130027771, 0.9591546654701233]"
"[0.9534161686897278, 0.9627590775489807]"
"[0.575546383857727, 0.9640950560569763]"
"[0.6410735845565796, 0.9624853730201721]"
"[0.6135864853858948, 0.962491512298584]"
"[0.525159478187561, 0.9631749987602234]"
"[0.8659684658050537, 0.9607476592063904]"
"[0.6611967086791992, 0.9618345499038696]"
"[0.6087112426757812, 0.962146520614624]"
"[0.4999341368675232, 0.9583082795143127]"
"[0.6282875537872314, 0.9605688452720642]"
"[0.5164721012115479, 0.9624605774879456]"
"[0.48372751474380493, 0.9599958658218384]"
"[0.4703617990016937, 0.9631459712982178]"
"[0.42285633087158203, 0.9640800356864929]"
"[0.4276871383190155, 0.962101936340332]"
"[0.6286674737930298, 0.9636136889457703]"
"[0.5782890319824219, 0.9631727933883667]"
"[0.6146680116653442, 0.9623594284057617]"
"[0.6009942889213562, 0.9621056914329529]"
"[0.4827471375465393, 0.9623387455940247]"
"[0.45446065068244934, 0.9619945287704468]"
"[0.5376180410385132, 0.9634945392608643]"
"[0.7974928617477417, 0.9623541235923767]"
"[0.5823699235916138, 0.9609682559967041]"
"[0.46842482686042786, 0.9635750651359558]"
"[0.6675968766212463, 0.9604266881942749]"
"[0.6860536336898804, 0.9624766111373901]"
"[0.5769596695899963, 0.961449384689331]"
"[0.5081478357315063, 0.9615153670310974]"
"[0.5872146487236023, 0.965445339679718]"
"[0.6799139380455017, 0.9594117403030396]"
"[0.6452251672744751, 0.9605916142463684]"
"[0.6317505836486816, 0.9591878652572632]"
