r,accuracy
"[0.5740227103233337, 0.9635526537895203]"
"[0.7839483618736267, 0.9624341726303101]"
"[0.7989439368247986, 0.960235059261322]"
"[0.6710479259490967, 0.9581888318061829]"
"[0.8351572751998901, 0.9615911841392517]"
"[0.8708832859992981, 0.9616102576255798]"
"[0.6949282884597778, 0.9643028378486633]"
"[0.6319157481193542, 0.9592656493186951]"
"[0.5666190385818481, 0.9606196880340576]"
"[0.6694977879524231, 0.9609203338623047]"
"[0.6873177886009216, 0.9608033895492554]"
"[0.6917351484298706, 0.9628617763519287]"
"[0.6470423340797424, 0.9605594277381897]"
"[0.6032715439796448, 0.9620770215988159]"
"[0.5230163931846619, 0.9597684741020203]"
"[0.6341210603713989, 0.9612480401992798]"
"[0.6359518766403198, 0.961234986782074]"
"[0.5824586749076843, 0.9615187644958496]"
"[0.4787258803844452, 0.9607046246528625]"
"[0.9400572180747986, 0.9622719883918762]"
"[0.7224926352500916, 0.9623146057128906]"
"[0.6991937160491943, 0.9627975821495056]"
"[0.7698031663894653, 0.9627617597579956]"
"[0.5702974796295166, 0.9588776230812073]"
"[0.6704046130180359, 0.9610205888748169]"
"[0.6156617403030396, 0.9629162549972534]"
"[0.6154642105102539, 0.963184118270874]"
"[0.9743096828460693, 0.9609091281890869]"
"[0.5170385241508484, 0.9608649611473083]"
"[0.9757575988769531, 0.9589169025421143]"
"[0.552872359752655, 0.9602949023246765]"
"[0.5754458904266357, 0.9619117379188538]"
"[0.6424863934516907, 0.9642009735107422]"
"[0.5374810695648193, 0.960563063621521]"
"[0.47456368803977966, 0.9625756740570068]"
"[0.5676843523979187, 0.9606528282165527]"
"[0.778170645236969, 0.9612284302711487]"
"[0.6326960921287537, 0.9606332778930664]"
"[0.5585452914237976, 0.957829475402832]"
"[0.8107993006706238, 0.9610691070556641]"
"[0.6761059761047363, 0.961081326007843]"
"[0.5358652472496033, 0.9596927165985107]"
"[0.5486249923706055, 0.9595634937286377]"
"[0.5008672475814819, 0.9604816436767578]"
"[0.7233350276947021, 0.9630731344223022]"
"[0.5597947239875793, 0.9612618088722229]"
"[0.5175611972808838, 0.9609454274177551]"
"[0.6362384557723999, 0.9619140028953552]"
"[0.540443480014801, 0.9607782959938049]"
"[0.6712071895599365, 0.9627391695976257]"
"[0.7803394794464111, 0.961044430732727]"
